Exercise Price (E),Option Price (C),Asset Price (S)
100.0,128.35,232.87
115.0,111.68,232.87
130.0,100.0,232.87
135.0,97.0,232.87
140.0,89.38,232.87
145.0,84.42,232.87
150.0,80.12,232.87
155.0,66.15,232.87
160.0,69.04,232.87
165.0,65.6,232.87
170.0,62.43,232.87
175.0,57.22,232.87
180.0,50.3,232.87
185.0,45.6,232.87
190.0,40.62,232.87
192.5,38.15,232.87
195.0,35.57,232.87
197.5,35.2,232.87
200.0,33.0,232.87
202.5,27.9,232.87
205.0,27.65,232.87
207.5,25.15,232.87
210.0,23.2,232.87
212.5,18.59,232.87
215.0,15.6,232.87
217.5,15.8,232.87
220.0,13.05,232.87
222.5,8.33,232.87
225.0,8.25,232.87
227.5,5.8,232.87
230.0,3.6,232.87
232.5,1.87,232.87
235.0,0.77,232.87
237.5,0.28,232.87
240.0,0.1,232.87
242.5,0.04,232.87
245.0,0.01,232.87
247.5,0.01,232.87
250.0,0.01,232.87
252.5,0.01,232.87
255.0,0.01,232.87
257.5,0.01,232.87
260.0,0.01,232.87
262.5,0.01,232.87
265.0,0.01,232.87
270.0,0.01,232.87
275.0,0.02,232.87
280.0,0.01,232.87
285.0,0.01,232.87
290.0,0.01,232.87
295.0,0.01,232.87
300.0,0.01,232.87
