contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL241129C00100000,2024-11-21 20:48:15+00:00,100.0,128.35,132.2,133.75,0.0,0.0,1,2,3.2421893945312497,True,REGULAR,USD
AAPL241129C00115000,2024-11-07 16:47:03+00:00,115.0,111.68,117.4,118.85,0.0,0.0,2,2,3.0664085839843747,True,REGULAR,USD
AAPL241129C00130000,2024-11-22 19:07:38+00:00,130.0,100.0,102.2,103.75,0.0,0.0,3,3,2.2968792578125,True,REGULAR,USD
AAPL241129C00135000,2024-11-25 16:12:32+00:00,135.0,97.0,97.1,98.85,2.300003,2.4287255,2,8,2.160160849609375,True,REGULAR,USD
AAPL241129C00140000,2024-11-22 15:35:41+00:00,140.0,89.38,92.2,93.75,0.0,0.0,3,3,2.0273486816406248,True,REGULAR,USD
AAPL241129C00145000,2024-11-22 20:30:50+00:00,145.0,84.42,87.1,88.85,0.0,0.0,3,6,1.8984380078125,True,REGULAR,USD
AAPL241129C00150000,2024-11-22 17:32:04+00:00,150.0,80.12,82.2,83.75,0.0,0.0,6,6,1.7773448632812499,True,REGULAR,USD
AAPL241129C00155000,2024-11-04 14:34:59+00:00,155.0,66.15,77.1,78.85,0.0,0.0,1,0,1.65625171875,True,REGULAR,USD
AAPL241129C00160000,2024-11-21 16:54:55+00:00,160.0,69.04,72.25,73.8,0.0,0.0,1,12,1.62109564453125,True,REGULAR,USD
AAPL241129C00165000,2024-11-22 18:39:28+00:00,165.0,65.6,67.1,68.9,0.3199997,0.49019563,1,14,1.46875265625,True,REGULAR,USD
AAPL241129C00170000,2024-11-22 16:33:34+00:00,170.0,62.43,62.2,63.8,2.880001,4.836274,4,42,1.3535188574218748,True,REGULAR,USD
AAPL241129C00175000,2024-11-25 16:26:05+00:00,175.0,57.22,57.15,58.85,2.1200027,3.847555,1,44,1.2421912890624998,True,REGULAR,USD
AAPL241129C00180000,2024-11-25 20:35:29+00:00,180.0,50.3,52.65,53.5,-0.29999924,-0.5928839,12,136,1.2128945605468748,True,REGULAR,USD
AAPL241129C00185000,2024-11-25 17:10:17+00:00,185.0,45.6,47.6,48.8,0.22999954,0.5069419,6,117,1.19141029296875,True,REGULAR,USD
AAPL241129C00190000,2024-11-25 18:04:17+00:00,190.0,40.62,42.35,43.65,0.8899994,2.2401192,4,229,0.9238288867187501,True,REGULAR,USD
AAPL241129C00192500,2024-11-25 20:35:29+00:00,192.5,38.15,40.15,40.9,0.920002,2.4711308,6,7,0.8945323046874999,True,REGULAR,USD
AAPL241129C00195000,2024-11-25 17:35:51+00:00,195.0,35.57,37.3,38.8,0.86999893,2.5072014,5,391,0.8632826171875,True,REGULAR,USD
AAPL241129C00197500,2024-11-25 20:54:00+00:00,197.5,35.2,34.75,35.95,3.6000004,11.3924055,2,4,1.009770576171875,True,REGULAR,USD
AAPL241129C00200000,2024-11-25 20:50:04+00:00,200.0,33.0,32.75,33.45,3.1499996,10.552763,108,500,0.790041162109375,True,REGULAR,USD
AAPL241129C00202500,2024-11-25 17:58:54+00:00,202.5,27.9,29.65,31.35,0.6499996,2.3853197,4,35,0.6679720703125002,True,REGULAR,USD
AAPL241129C00205000,2024-11-25 20:54:00+00:00,205.0,27.65,27.7,28.4,2.75,11.044177,12,439,0.6523472265625001,True,REGULAR,USD
AAPL241129C00207500,2024-11-25 20:54:00+00:00,207.5,25.15,25.2,26.05,3.0,13.544019,47,733,0.639652041015625,True,REGULAR,USD
AAPL241129C00210000,2024-11-25 20:55:02+00:00,210.0,23.2,23.0,23.35,2.9800014,14.737891,48,397,0.6064492480468751,True,REGULAR,USD
AAPL241129C00212500,2024-11-25 19:55:10+00:00,212.5,18.59,20.15,20.95,1.3899994,8.081391,4,230,0.637698935546875,True,REGULAR,USD
AAPL241129C00215000,2024-11-25 18:53:56+00:00,215.0,15.6,17.7,18.45,0.5300007,3.5169256,63,324,0.5751995605468749,True,REGULAR,USD
AAPL241129C00217500,2024-11-25 20:58:14+00:00,217.5,15.8,15.1,15.85,3.1000004,24.409452,32,541,0.48682153808593753,True,REGULAR,USD
AAPL241129C00220000,2024-11-25 20:59:01+00:00,220.0,13.05,12.85,13.3,2.6000004,24.880386,192,1612,0.41260353027343744,True,REGULAR,USD
AAPL241129C00222500,2024-11-25 20:31:01+00:00,222.5,8.33,10.35,10.8,0.3800001,4.7798758,117,725,0.3505924316406249,True,REGULAR,USD
AAPL241129C00225000,2024-11-25 20:59:46+00:00,225.0,8.25,8.0,8.45,2.6599998,47.584972,16928,10954,0.3149482568359374,True,REGULAR,USD
AAPL241129C00227500,2024-11-25 20:59:50+00:00,227.5,5.8,5.75,5.95,2.2500002,63.38029,10855,8378,0.24463645996093752,True,REGULAR,USD
AAPL241129C00230000,2024-11-25 20:59:57+00:00,230.0,3.6,3.6,3.75,1.67,86.5285,32605,17573,0.2063067651367187,True,REGULAR,USD
AAPL241129C00232500,2024-11-25 20:59:59+00:00,232.5,1.87,1.85,1.92,0.95,103.260864,57664,13323,0.17786466674804688,True,REGULAR,USD
AAPL241129C00235000,2024-11-25 20:59:59+00:00,235.0,0.77,0.77,0.79,0.39,102.63158,84000,16094,0.16773293212890628,False,REGULAR,USD
