contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL241129P00105000,2024-11-20 19:15:28+00:00,105.0,0.02,0.0,0.01,0.0,0.0,2.0,3,2.3125042187499996,False,REGULAR,USD
AAPL241129P00110000,2024-11-11 20:46:49+00:00,110.0,0.01,0.0,0.01,0.0,0.0,,10,2.1875045312499997,False,REGULAR,USD
AAPL241129P00115000,2024-10-30 13:30:03+00:00,115.0,0.03,0.0,0.01,0.0,0.0,,1,2.0625048437499998,False,REGULAR,USD
AAPL241129P00120000,2024-11-11 15:35:46+00:00,120.0,0.01,0.0,0.01,0.0,0.0,,5,1.9375003125,False,REGULAR,USD
AAPL241129P00125000,2024-11-15 16:00:30+00:00,125.0,0.01,0.0,0.01,0.0,0.0,1.0,30,1.8125009374999999,False,REGULAR,USD
AAPL241129P00130000,2024-11-11 18:39:11+00:00,130.0,0.01,0.0,0.01,0.0,0.0,2.0,42,1.71875140625,False,REGULAR,USD
AAPL241129P00140000,2024-11-19 20:46:10+00:00,140.0,0.01,0.0,0.01,0.0,0.0,131.0,143,1.5000025,False,REGULAR,USD
AAPL241129P00145000,2024-11-19 20:40:16+00:00,145.0,0.01,0.0,0.01,0.0,0.0,1072.0,1073,1.40625296875,False,REGULAR,USD
AAPL241129P00150000,2024-11-25 15:25:28+00:00,150.0,0.01,0.0,0.01,0.0,0.0,30.0,611,1.3125034374999998,False,REGULAR,USD
AAPL241129P00155000,2024-11-19 20:42:36+00:00,155.0,0.01,0.0,0.01,0.0,0.0,390.0,406,1.21875390625,False,REGULAR,USD
AAPL241129P00160000,2024-11-21 20:39:36+00:00,160.0,0.02,0.0,0.01,0.0,0.0,3.0,245,1.125004375,False,REGULAR,USD
AAPL241129P00165000,2024-11-20 14:46:16+00:00,165.0,0.01,0.0,0.01,0.0,0.0,2.0,126,1.0625046875000002,False,REGULAR,USD
AAPL241129P00170000,2024-11-25 14:30:02+00:00,170.0,0.01,0.0,0.01,0.0,0.0,11.0,548,0.9687503125,False,REGULAR,USD
AAPL241129P00175000,2024-11-25 20:01:29+00:00,175.0,0.01,0.0,0.01,0.0,0.0,3.0,186,0.87500125,False,REGULAR,USD
AAPL241129P00180000,2024-11-22 16:01:10+00:00,180.0,0.02,0.0,0.01,0.0,0.0,5.0,649,0.79687703125,False,REGULAR,USD
AAPL241129P00185000,2024-11-25 14:37:18+00:00,185.0,0.02,0.0,0.01,0.0,0.0,3.0,1003,0.7187528125,False,REGULAR,USD
AAPL241129P00190000,2024-11-25 20:01:28+00:00,190.0,0.01,0.0,0.01,-0.01,-50.0,112.0,1523,0.64062859375,False,REGULAR,USD
AAPL241129P00192500,2024-11-21 20:47:09+00:00,192.5,0.04,0.0,0.01,0.0,0.0,12.0,114,0.5937540625000001,False,REGULAR,USD
AAPL241129P00195000,2024-11-25 18:47:45+00:00,195.0,0.01,0.0,0.01,-0.01,-50.0,1410.0,698,0.5625043750000001,False,REGULAR,USD
AAPL241129P00197500,2024-11-25 19:48:56+00:00,197.5,0.02,0.0,0.02,-0.02,-50.0,489.0,292,0.5625043750000001,False,REGULAR,USD
AAPL241129P00200000,2024-11-25 20:45:52+00:00,200.0,0.01,0.01,0.02,-0.04,-80.00001,472.0,2112,0.5468795312500001,False,REGULAR,USD
AAPL241129P00202500,2024-11-25 20:53:49+00:00,202.5,0.02,0.01,0.02,-0.030000001,-60.0,1143.0,3158,0.507817421875,False,REGULAR,USD
AAPL241129P00205000,2024-11-25 20:04:39+00:00,205.0,0.02,0.02,0.03,-0.030000001,-60.0,2229.0,3855,0.5039112109375,False,REGULAR,USD
AAPL241129P00207500,2024-11-25 19:48:18+00:00,207.5,0.03,0.02,0.03,-0.04,-57.142857,225.0,2019,0.46094289062500005,False,REGULAR,USD
AAPL241129P00210000,2024-11-25 20:50:39+00:00,210.0,0.04,0.03,0.04,-0.050000004,-55.555557,275.0,2488,0.4335994140625,False,REGULAR,USD
AAPL241129P00212500,2024-11-25 20:59:11+00:00,212.5,0.04,0.02,0.04,-0.060000002,-60.0,500.0,4199,0.39063109375,False,REGULAR,USD
AAPL241129P00215000,2024-11-25 20:57:42+00:00,215.0,0.04,0.04,0.05,-0.089999996,-69.230774,4595.0,5529,0.35742830078125,False,REGULAR,USD
AAPL241129P00217500,2024-11-25 20:59:29+00:00,217.5,0.05,0.05,0.06,-0.120000005,-70.588234,1250.0,1685,0.32227240234374993,False,REGULAR,USD
