contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AMZN241129C00100000,2024-11-25 14:58:52+00:00,100.0,100.37,101.25,101.85,3.380005,3.4849005,26,32,2.750003125,True,REGULAR,USD
AMZN241129C00105000,2024-11-22 17:30:57+00:00,105.0,93.22,95.85,97.3,0.0,0.0,3,104,2.6445346386718755,True,REGULAR,USD
AMZN241129C00110000,2024-11-22 20:49:28+00:00,110.0,87.45,90.9,92.25,0.0,0.0,20,31,2.468753828125,True,REGULAR,USD
AMZN241129C00115000,2024-11-22 18:16:46+00:00,115.0,83.18,85.85,87.3,0.0,0.0,5,5,2.3046917382812495,True,REGULAR,USD
AMZN241129C00120000,2024-11-22 20:48:07+00:00,120.0,77.45,80.9,82.25,0.0,0.0,6,9,2.144535888671875,True,REGULAR,USD
AMZN241129C00125000,2024-11-22 15:46:34+00:00,125.0,73.65,75.85,77.35,0.0,0.0,32,130,2.0410205224609372,True,REGULAR,USD
AMZN241129C00130000,2024-11-21 17:47:25+00:00,130.0,70.3,71.3,71.85,1.2300034,1.7808069,400,402,1.8437507812499998,True,REGULAR,USD
AMZN241129C00135000,2024-11-22 16:53:35+00:00,135.0,63.0,65.85,67.35,0.0,0.0,19,26,1.7441419042968749,True,REGULAR,USD
AMZN241129C00140000,2024-11-25 17:39:36+00:00,140.0,59.49,60.95,62.3,1.7300034,2.9951582,8,32,1.6386736816406249,True,REGULAR,USD
AMZN241129C00145000,2024-11-22 19:38:34+00:00,145.0,56.58,56.2,56.95,4.420002,8.47393,24,42,1.4296903515625,True,REGULAR,USD
AMZN241129C00150000,2024-11-25 20:59:05+00:00,150.0,51.66,51.15,52.0,4.1899986,8.826625,5,70,1.2968785156249998,True,REGULAR,USD
AMZN241129C00155000,2024-11-22 20:07:55+00:00,155.0,42.31,45.95,46.9,0.0,0.0,10,56,1.4453152734375,True,REGULAR,USD
AMZN241129C00160000,2024-11-25 20:44:06+00:00,160.0,41.31,41.05,41.85,3.460003,9.1413555,13,160,0.500005,True,REGULAR,USD
AMZN241129C00165000,2024-11-25 20:29:11+00:00,165.0,36.26,36.05,36.95,3.7599983,11.569225,9,166,0.8125018749999999,True,REGULAR,USD
AMZN241129C00170000,2024-11-25 19:38:35+00:00,170.0,31.7,31.15,31.9,4.33,15.820241,15,228,0.74414318359375,True,REGULAR,USD
AMZN241129C00172500,2024-11-25 15:12:43+00:00,172.5,28.6,28.55,29.65,3.6499996,14.629257,3,20,0.7656273437500001,True,REGULAR,USD
