,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,AMZN241129P00100000,2024-11-19 14:30:00+00:00,100.0,0.02,0.0,0.01,0.0,0.0,1.0,5,2.0625048437499998,False,REGULAR,USD
1,AMZN241129P00105000,2024-11-22 16:33:52+00:00,105.0,0.01,0.0,0.01,0.0,0.0,1.0,3,1.9375003125,False,REGULAR,USD
2,AMZN241129P00110000,2024-11-18 14:30:00+00:00,110.0,0.02,0.0,0.01,0.0,0.0,10.0,11,1.8125009374999999,False,REGULAR,USD
3,AMZN241129P00115000,2024-11-14 16:37:43+00:00,115.0,0.01,0.0,0.01,0.0,0.0,1.0,3,1.6875015625,False,REGULAR,USD
4,AMZN241129P00120000,2024-11-08 16:09:30+00:00,120.0,0.01,0.0,0.01,0.0,0.0,4.0,803,1.5625021874999998,False,REGULAR,USD
5,AMZN241129P00125000,2024-11-22 19:22:46+00:00,125.0,0.01,0.0,0.01,0.0,0.0,21.0,44,1.4375028125,False,REGULAR,USD
6,AMZN241129P00130000,2024-11-22 20:26:31+00:00,130.0,0.01,0.0,0.01,0.0,0.0,1352.0,1710,1.3125034374999998,False,REGULAR,USD
7,AMZN241129P00135000,2024-11-22 20:39:50+00:00,135.0,0.01,0.0,0.01,0.0,0.0,1160.0,1202,1.21875390625,False,REGULAR,USD
8,AMZN241129P00140000,2024-11-22 20:39:39+00:00,140.0,0.01,0.0,0.01,0.0,0.0,850.0,1003,1.125004375,False,REGULAR,USD
9,AMZN241129P00145000,2024-11-22 20:22:57+00:00,145.0,0.01,0.0,0.01,0.0,0.0,6.0,3854,1.000005,False,REGULAR,USD
10,AMZN241129P00150000,2024-11-22 19:25:35+00:00,150.0,0.01,0.0,0.01,0.0,0.0,387.0,2533,0.9062509375,False,REGULAR,USD
11,AMZN241129P00155000,2024-11-25 15:13:11+00:00,155.0,0.01,0.0,0.01,-0.02,-66.66667,26.0,471,0.8125018749999999,False,REGULAR,USD
12,AMZN241129P00160000,2024-11-25 19:03:05+00:00,160.0,0.01,0.0,0.02,-0.01,-50.0,50.0,2018,0.7812521875,False,REGULAR,USD
13,AMZN241129P00165000,2024-11-25 20:09:15+00:00,165.0,0.01,0.0,0.02,-0.02,-66.66667,171.0,1707,0.6875031250000001,False,REGULAR,USD
