contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BAC241129C00030000,2024-11-01 13:46:53+00:00,30.0,12.35,17.45,19.0,0.0,0.0,2.0,2,3.55468861328125,True,REGULAR,USD
BAC241129C00031000,2024-11-22 20:25:51+00:00,31.0,15.94,16.45,16.65,0.0,0.0,4.0,4,1.9375003125,True,REGULAR,USD
BAC241129C00033000,2024-10-31 18:58:28+00:00,33.0,9.19,14.0,16.0,0.0,0.0,,1,2.673831440429688,True,REGULAR,USD
BAC241129C00034000,2024-11-22 20:29:13+00:00,34.0,12.9,13.45,13.65,0.0,0.0,1.0,1,1.5625021874999998,True,REGULAR,USD
BAC241129C00035000,2024-11-22 17:36:27+00:00,35.0,12.03,12.45,12.65,0.0,0.0,1.0,18,1.4453152734375,True,REGULAR,USD
BAC241129C00036000,2024-11-22 20:29:13+00:00,36.0,10.9,11.45,11.6,0.0,0.0,2.0,15,1.203128984375,True,REGULAR,USD
BAC241129C00037000,2024-11-18 17:29:17+00:00,37.0,9.89,10.45,10.6,0.0,0.0,5.0,8,1.09375453125,True,REGULAR,USD
BAC241129C00038000,2024-11-22 20:29:13+00:00,38.0,8.9,9.45,10.6,0.0,0.0,9.0,20,1.8691412792968751,True,REGULAR,USD
BAC241129C00039000,2024-11-25 15:47:17+00:00,39.0,8.35,8.0,8.65,0.5000005,6.3694324,2.0,18,1.2265663671875,True,REGULAR,USD
BAC241129C00039500,2024-11-22 17:28:59+00:00,39.5,7.72,7.95,8.1,0.0,0.0,1.0,2,0.8437515624999999,True,REGULAR,USD
BAC241129C00040000,2024-11-25 15:55:22+00:00,40.0,7.32,7.45,7.6,0.2800002,3.9772756,6.0,187,0.789064609375,True,REGULAR,USD
BAC241129C00040500,2024-11-25 16:15:39+00:00,40.5,7.0,6.95,7.1,0.55999994,8.695651,1.0,4,0.7421900781249999,True,REGULAR,USD
BAC241129C00041000,2024-11-25 18:50:05+00:00,41.0,6.64,6.3,6.6,0.5499997,9.031194,6.0,5822,0.8906260937499999,True,REGULAR,USD
BAC241129C00041500,2024-11-21 16:22:32+00:00,41.5,5.46,5.95,6.1,0.0,0.0,5.0,36,0.64062859375,True,REGULAR,USD
BAC241129C00042000,2024-11-25 16:36:25+00:00,42.0,5.41,5.5,5.65,0.40999985,8.199997,19.0,1156,0.726565234375,True,REGULAR,USD
BAC241129C00042500,2024-11-25 18:34:36+00:00,42.5,5.2,5.0,5.1,0.5999999,13.043477,1.0,69,0.6171913281250001,True,REGULAR,USD
BAC241129C00043000,2024-11-25 20:49:27+00:00,43.0,4.68,4.5,4.6,0.6199999,15.270933,11.0,1536,0.5625043750000001,True,REGULAR,USD
BAC241129C00043500,2024-11-25 18:43:54+00:00,43.5,4.15,4.0,4.15,0.60000014,16.901413,6.0,57,0.5546919531250001,True,REGULAR,USD
BAC241129C00044000,2024-11-25 17:42:32+00:00,44.0,3.7,3.5,3.6,0.6300001,20.521177,19.0,1047,0.53320779296875,True,REGULAR,USD
BAC241129C00044500,2024-11-25 19:33:45+00:00,44.5,3.14,3.0,3.15,0.5700002,22.178995,18.0,115,0.5293015820312501,True,REGULAR,USD
BAC241129C00045000,2024-11-25 20:55:58+00:00,45.0,2.65,2.49,2.81,0.5700002,27.403854,442.0,5325,0.5976602734375001,True,REGULAR,USD
BAC241129C00045500,2024-11-25 20:33:15+00:00,45.5,2.26,2.04,2.16,0.72,46.753246,29.0,333,0.405279384765625,True,REGULAR,USD
BAC241129C00046000,2024-11-25 20:57:12+00:00,46.0,1.62,1.55,1.67,0.48000002,42.105263,541.0,2609,0.34278000976562495,True,REGULAR,USD
BAC241129C00046500,2024-11-25 20:56:49+00:00,46.5,1.15,1.1,1.15,0.35999995,45.569614,981.0,2183,0.25391371093750004,True,REGULAR,USD
BAC241129C00047000,2024-11-25 20:57:28+00:00,47.0,0.69,0.68,0.73,0.22999999,49.999996,7026.0,4075,0.22071091796874998,True,REGULAR,USD
BAC241129C00047500,2024-11-25 20:59:19+00:00,47.5,0.39,0.37,0.4,0.13999999,55.999992,4885.0,2216,0.20117986328124998,False,REGULAR,USD
BAC241129C00048000,2024-11-25 20:59:39+00:00,48.0,0.19,0.17,0.19,0.060000002,46.153847,4939.0,4656,0.195320546875,False,REGULAR,USD
BAC241129C00048500,2024-11-25 20:59:57+00:00,48.5,0.08,0.07,0.09,0.02,33.333336,3157.0,6685,0.20508607421874997,False,REGULAR,USD
BAC241129C00049000,2024-11-25 20:54:01+00:00,49.0,0.04,0.03,0.04,0.0,0.0,5782.0,17773,0.21289849609375,False,REGULAR,USD
BAC241129C00049500,2024-11-25 20:33:19+00:00,49.5,0.02,0.01,0.02,0.0,0.0,313.0,243,0.22657023437499998,False,REGULAR,USD
BAC241129C00050000,2024-11-25 20:47:17+00:00,50.0,0.01,0.01,0.02,0.0,0.0,745.0,1812,0.273444765625,False,REGULAR,USD
BAC241129C00051000,2024-11-25 15:10:44+00:00,51.0,0.01,0.0,0.01,0.0,0.0,71.0,1159,0.32031929687499994,False,REGULAR,USD
BAC241129C00052000,2024-11-25 14:30:10+00:00,52.0,0.02,0.0,0.02,0.01,100.0,30.0,75,0.437505625,False,REGULAR,USD
BAC241129C00053000,2024-11-22 18:03:25+00:00,53.0,0.02,0.0,0.25,0.0,0.0,2.0,66,0.7226590234375,False,REGULAR,USD
BAC241129C00054000,2024-11-18 18:16:17+00:00,54.0,0.01,0.0,0.03,0.0,0.0,1.0,156,0.5625043750000001,False,REGULAR,USD
BAC241129C00055000,2024-11-15 15:47:37+00:00,55.0,0.03,0.0,0.05,0.0,0.0,20.0,627,0.6718782812500002,False,REGULAR,USD
BAC241129C00056000,2024-11-18 14:30:17+00:00,56.0,0.03,0.0,0.57,0.0,0.0,,1,1.197269638671875,False,REGULAR,USD
