contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
BAC241129P00025000,2024-10-28 18:57:43+00:00,25.0,0.03,0.0,0.02,0.0,0.0,,1,2.3125042187499996,False,REGULAR,USD
BAC241129P00030000,2024-11-05 15:43:58+00:00,30.0,0.02,0.0,0.01,0.0,0.0,10.0,11,1.5625021874999998,False,REGULAR,USD
BAC241129P00031000,2024-10-25 19:34:27+00:00,31.0,0.05,0.0,0.03,0.0,0.0,2.0,2,1.65625171875,False,REGULAR,USD
BAC241129P00032000,2024-11-01 17:40:53+00:00,32.0,0.05,0.0,0.25,0.0,0.0,5.0,6,2.1093797265624996,False,REGULAR,USD
BAC241129P00033000,2024-11-19 18:19:32+00:00,33.0,0.01,0.0,0.25,0.0,0.0,1.0,3,1.96875015625,False,REGULAR,USD
BAC241129P00034000,2024-11-22 18:39:00+00:00,34.0,0.02,0.0,0.02,0.0,0.0,10.0,22,1.2656286718749998,False,REGULAR,USD
BAC241129P00035000,2024-11-14 20:05:17+00:00,35.0,0.02,0.0,0.25,0.0,0.0,3.0,972,1.6953140234375002,False,REGULAR,USD
BAC241129P00036000,2024-11-14 15:48:09+00:00,36.0,0.01,0.0,0.03,0.0,0.0,37.0,887,1.125004375,False,REGULAR,USD
BAC241129P00037000,2024-11-20 18:22:24+00:00,37.0,0.01,0.0,0.03,0.0,0.0,10.0,716,1.0312548437500002,False,REGULAR,USD
BAC241129P00038000,2024-11-14 20:48:30+00:00,38.0,0.02,0.0,0.04,0.0,0.0,25.0,487,0.9609378906249999,False,REGULAR,USD
BAC241129P00039000,2024-11-20 15:48:51+00:00,39.0,0.01,0.0,0.01,0.0,0.0,100.0,1032,0.7187528125,False,REGULAR,USD
BAC241129P00039500,2024-11-20 16:48:53+00:00,39.5,0.01,0.0,0.25,0.0,0.0,500.0,525,1.1171919140625,False,REGULAR,USD
BAC241129P00040000,2024-11-25 19:15:52+00:00,40.0,0.01,0.0,0.04,0.0,0.0,3.0,5653,0.7656273437500001,False,REGULAR,USD
BAC241129P00040500,2024-11-19 16:31:18+00:00,40.5,0.01,0.0,0.25,0.0,0.0,2.0,19,0.9960937890625,False,REGULAR,USD
BAC241129P00041000,2024-11-22 20:38:31+00:00,41.0,0.01,0.0,0.02,0.0,0.0,2538.0,3126,0.6093789062500001,False,REGULAR,USD
BAC241129P00041500,2024-11-22 20:39:12+00:00,41.5,0.01,0.0,0.03,0.0,0.0,7546.0,6325,0.5937540625000001,False,REGULAR,USD
BAC241129P00042000,2024-11-25 20:45:22+00:00,42.0,0.01,0.0,0.01,0.0,0.0,1.0,3799,0.51562984375,False,REGULAR,USD
BAC241129P00042500,2024-11-25 20:52:51+00:00,42.5,0.01,0.01,0.02,0.0,0.0,4735.0,314,0.500005,False,REGULAR,USD
BAC241129P00043000,2024-11-25 19:35:58+00:00,43.0,0.01,0.01,0.02,-0.01,-50.0,532.0,4833,0.476567734375,False,REGULAR,USD
BAC241129P00043500,2024-11-25 19:24:35+00:00,43.5,0.02,0.01,0.02,0.0,0.0,396.0,402,0.42969320312500003,False,REGULAR,USD
BAC241129P00044000,2024-11-25 18:05:56+00:00,44.0,0.02,0.01,0.02,0.0,0.0,49.0,1069,0.38281867187499996,False,REGULAR,USD
BAC241129P00044500,2024-11-25 20:57:46+00:00,44.5,0.02,0.02,0.03,-0.02,-50.0,748.0,480,0.35938140625,False,REGULAR,USD
BAC241129P00045000,2024-11-25 20:35:30+00:00,45.0,0.02,0.02,0.03,-0.030000001,-60.0,739.0,7328,0.3086006640625,False,REGULAR,USD
BAC241129P00045500,2024-11-25 20:45:41+00:00,45.5,0.03,0.02,0.04,-0.03,-50.0,927.0,1527,0.27539787109374997,False,REGULAR,USD
BAC241129P00046000,2024-11-25 20:51:07+00:00,46.0,0.04,0.04,0.05,-0.08,-66.66667,819.0,2507,0.23242955078125,False,REGULAR,USD
BAC241129P00046500,2024-11-25 20:59:22+00:00,46.5,0.07,0.07,0.08,-0.15,-68.18182,3481.0,3491,0.20117986328124998,False,REGULAR,USD
BAC241129P00047000,2024-11-25 20:59:49+00:00,47.0,0.15,0.15,0.16,-0.26999998,-64.28571,3460.0,1419,0.179695703125,False,REGULAR,USD
BAC241129P00047500,2024-11-25 20:59:24+00:00,47.5,0.35,0.32,0.35,-0.35,-50.0,2243.0,264,0.176766044921875,False,REGULAR,USD
BAC241129P00048000,2024-11-25 20:57:17+00:00,48.0,0.63,0.62,0.66,-0.57000005,-47.5,297.0,244,0.17774259765625,True,REGULAR,USD
BAC241129P00048500,2024-11-25 20:59:41+00:00,48.5,1.05,0.81,1.07,-0.3900001,-27.08334,157.0,14,0.187508125,True,REGULAR,USD
BAC241129P00049000,2024-11-25 20:47:58+00:00,49.0,1.5,1.48,1.57,-0.74,-33.035713,79.0,15,0.24805439453125,True,REGULAR,USD
BAC241129P00049500,2024-11-25 20:36:50+00:00,49.5,1.83,1.91,2.06,-1.43,-43.865032,1.0,0,0.2910227148437499,True,REGULAR,USD
