contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
JNJ241129C00110000,2024-11-21 20:04:26+00:00,110.0,46.0,43.75,47.6,0.0,0.0,1.0,0,2.6543002392578128,True,REGULAR,USD
JNJ241129C00138000,2024-11-22 15:03:50+00:00,138.0,18.8,16.7,18.4,0.0,0.0,2.0,2,0.8896495410156249,True,REGULAR,USD
JNJ241129C00141000,2024-11-18 14:39:05+00:00,141.0,13.3,14.4,15.95,0.0,0.0,,1,0.6835969140625001,True,REGULAR,USD
JNJ241129C00143000,2024-11-18 15:05:57+00:00,143.0,12.25,11.55,13.4,0.0,0.0,,2,0.6889679541015626,True,REGULAR,USD
JNJ241129C00144000,2024-11-21 16:56:43+00:00,144.0,10.45,11.4,13.75,0.0,0.0,1.0,2,0.700198310546875,True,REGULAR,USD
JNJ241129C00145000,2024-11-25 19:44:57+00:00,145.0,10.74,9.6,12.8,0.5,4.8828125,46.0,12,0.5419967675781252,True,REGULAR,USD
JNJ241129C00147000,2024-11-22 14:50:47+00:00,147.0,8.75,7.6,9.9,-1.25,-12.5,11.0,10,0.648441015625,True,REGULAR,USD
JNJ241129C00148000,2024-11-25 18:48:06+00:00,148.0,7.55,6.55,8.05,-0.46000004,-5.7428217,180.0,30,0.3754945263671875,True,REGULAR,USD
JNJ241129C00149000,2024-11-25 18:48:06+00:00,149.0,6.45,5.55,7.9,2.0299997,45.927593,35.0,13,0.5532271240234375,True,REGULAR,USD
JNJ241129C00150000,2024-11-25 20:59:56+00:00,150.0,5.82,4.75,6.9,0.52,9.81132,1468.0,474,0.5039112109375,True,REGULAR,USD
JNJ241129C00152500,2024-11-25 20:51:51+00:00,152.5,3.08,2.67,3.45,0.72,30.508476,979.0,263,0.174812939453125,True,REGULAR,USD
JNJ241129C00155000,2024-11-25 20:57:52+00:00,155.0,0.88,0.63,1.02,0.06999999,8.641974,1552.0,1363,0.08374939697265626,True,REGULAR,USD
JNJ241129C00157500,2024-11-25 20:51:06+00:00,157.5,0.13,0.12,0.16,-0.010000005,-7.1428604,1928.0,1725,0.1088956298828125,False,REGULAR,USD
JNJ241129C00160000,2024-11-25 20:40:33+00:00,160.0,0.03,0.03,0.04,-0.01,-25.0,1063.0,3024,0.14649291015625,False,REGULAR,USD
JNJ241129C00162500,2024-11-25 16:59:38+00:00,162.5,0.01,0.0,0.03,-0.01,-50.0,9.0,15,0.20313296874999998,False,REGULAR,USD
JNJ241129C00165000,2024-11-25 20:55:31+00:00,165.0,0.04,0.0,0.04,0.02,100.0,4.0,850,0.27539787109374997,False,REGULAR,USD
JNJ241129C00167500,2024-11-25 18:03:34+00:00,167.5,0.01,0.0,0.01,0.0,0.0,908.0,10,0.28125718749999995,False,REGULAR,USD
JNJ241129C00170000,2024-11-25 17:39:19+00:00,170.0,0.02,0.0,0.01,-0.08,-80.00001,4.0,2484,0.32813171874999997,False,REGULAR,USD
JNJ241129C00172500,2024-11-15 20:09:29+00:00,172.5,0.03,0.0,0.57,0.0,0.0,,1,0.629886513671875,False,REGULAR,USD
JNJ241129C00175000,2024-11-25 19:08:46+00:00,175.0,0.01,0.0,0.01,0.0,0.0,12.0,1404,0.42188078125,False,REGULAR,USD
JNJ241129C00177500,2024-11-12 15:33:46+00:00,177.5,0.01,0.0,0.01,0.0,0.0,,1,0.4687553125,False,REGULAR,USD
JNJ241129C00180000,2024-11-19 14:30:05+00:00,180.0,0.01,0.0,0.41,0.0,0.0,2.0,9,0.7763694238281251,False,REGULAR,USD
JNJ241129C00185000,2024-11-01 16:44:33+00:00,185.0,0.06,0.0,0.37,0.0,0.0,6.0,5,0.87695435546875,False,REGULAR,USD
JNJ241129C00190000,2024-11-06 14:53:15+00:00,190.0,0.03,0.0,0.3,0.0,0.0,2.0,14,0.9531254687499999,False,REGULAR,USD
JNJ241129C00235000,2024-11-22 16:30:02+00:00,235.0,0.05,0.0,0.53,-0.040000003,-44.444447,1.0,1,1.896484892578125,False,REGULAR,USD
