contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
JPM241129C00110000,2024-11-22 15:56:06+00:00,110.0,138.18,138.6,141.75,0.0,0.0,1.0,1,4.634769831542969,True,REGULAR,USD
JPM241129C00120000,2024-11-06 18:47:26+00:00,120.0,126.52,128.2,131.75,0.0,0.0,1.0,0,4.1972703784179695,True,REGULAR,USD
JPM241129C00165000,2024-11-14 19:02:23+00:00,165.0,77.0,83.0,86.85,0.0,0.0,,1,2.6230503173828126,True,REGULAR,USD
JPM241129C00170000,2024-11-14 19:19:28+00:00,170.0,72.37,78.6,81.5,0.0,0.0,,1,2.3330119799804683,True,REGULAR,USD
JPM241129C00175000,2024-10-15 17:01:44+00:00,175.0,50.7,67.6,68.1,0.0,0.0,,0,1.0000000000000003e-05,True,REGULAR,USD
JPM241129C00195000,2024-11-15 20:49:45+00:00,195.0,50.89,54.25,56.65,0.0,0.0,1.0,10,1.125004375,True,REGULAR,USD
JPM241129C00200000,2024-11-21 14:35:21+00:00,200.0,43.72,48.9,51.8,0.0,0.0,2.0,41,0.8984385156249999,True,REGULAR,USD
JPM241129C00205000,2024-11-06 18:12:44+00:00,205.0,42.2,44.15,46.65,0.0,0.0,38.0,43,0.87695435546875,True,REGULAR,USD
JPM241129C00210000,2024-11-25 16:38:58+00:00,210.0,40.5,38.25,41.85,3.2299995,8.666486,1.0,10,1.3261752441406247,True,REGULAR,USD
JPM241129C00215000,2024-11-22 20:32:41+00:00,215.0,34.17,34.4,36.55,0.0,0.0,18.0,26,0.7509790527343749,True,REGULAR,USD
JPM241129C00217500,2024-11-15 15:36:48+00:00,217.5,28.0,31.8,34.3,0.0,0.0,,4,0.745119736328125,True,REGULAR,USD
JPM241129C00220000,2024-11-22 18:35:14+00:00,220.0,29.96,29.15,31.55,1.0799999,3.739612,1.0,257,0.5507857421875001,True,REGULAR,USD
JPM241129C00222500,2024-11-20 18:42:01+00:00,222.5,17.35,26.9,29.3,0.0,0.0,,1,0.6660189648437502,True,REGULAR,USD
JPM241129C00225000,2024-11-25 19:26:40+00:00,225.0,25.2,25.0,26.9,1.2400017,5.175299,1.0,381,0.7260769580078125,True,REGULAR,USD
JPM241129C00227500,2024-11-25 19:02:28+00:00,227.5,23.38,22.05,23.5,2.1299992,10.023525,1.0,66,0.6806672558593752,True,REGULAR,USD
JPM241129C00230000,2024-11-25 17:44:47+00:00,230.0,20.63,20.15,20.95,1.7599983,9.326964,37.0,637,0.6093789062500001,True,REGULAR,USD
JPM241129C00232500,2024-11-25 15:02:41+00:00,232.5,17.92,17.45,18.55,5.08,39.56386,1.0,9,0.5722699023437501,True,REGULAR,USD
JPM241129C00235000,2024-11-25 19:53:00+00:00,235.0,15.33,14.65,16.0,1.4300003,10.287772,82.0,581,0.5009815527343751,True,REGULAR,USD
JPM241129C00237500,2024-11-25 19:20:47+00:00,237.5,13.45,12.2,13.4,1.9700003,17.160282,35.0,131,0.41992767578125,True,REGULAR,USD
JPM241129C00240000,2024-11-25 20:49:32+00:00,240.0,10.27,10.25,10.85,1.0900002,11.87364,58.0,679,0.34961587890624996,True,REGULAR,USD
JPM241129C00242500,2024-11-25 20:34:38+00:00,242.5,8.4,7.35,8.45,1.6499996,24.44444,150.0,392,0.30371790039062496,True,REGULAR,USD
JPM241129C00245000,2024-11-25 20:59:17+00:00,245.0,5.85,5.65,6.1,1.0299997,21.369287,1520.0,2355,0.25708750732421876,True,REGULAR,USD
JPM241129C00247500,2024-11-25 20:51:14+00:00,247.5,3.6,3.55,4.0,0.55999994,18.421051,307.0,1287,0.225593681640625,True,REGULAR,USD
JPM241129C00250000,2024-11-25 20:57:55+00:00,250.0,2.02,1.95,2.08,0.31999993,18.823524,3559.0,2509,0.1848226049804687,True,REGULAR,USD
JPM241129C00252500,2024-11-25 20:59:37+00:00,252.5,0.95,0.9,0.98,0.050000012,5.555557,3206.0,2537,0.17920742675781248,False,REGULAR,USD
JPM241129C00255000,2024-11-25 20:58:13+00:00,255.0,0.38,0.35,0.4,0.0,0.0,3754.0,4650,0.17920742675781248,False,REGULAR,USD
JPM241129C00257500,2024-11-25 20:54:02+00:00,257.5,0.14,0.13,0.16,-0.030000001,-17.647058,3422.0,3134,0.1860432958984375,False,REGULAR,USD
JPM241129C00260000,2024-11-25 20:52:18+00:00,260.0,0.05,0.05,0.07,-0.05,-50.0,761.0,384,0.198250205078125,False,REGULAR,USD
JPM241129C00262500,2024-11-25 20:59:39+00:00,262.5,0.03,0.02,0.03,-0.020000001,-40.000004,142.0,763,0.20899228515624996,False,REGULAR,USD
JPM241129C00265000,2024-11-25 19:17:11+00:00,265.0,0.02,0.0,0.05,0.0,0.0,1094.0,132,0.26367923828125,False,REGULAR,USD
JPM241129C00267500,2024-11-25 14:55:33+00:00,267.5,0.01,0.0,1.27,-0.049999997,-83.333336,1.0,3,0.6098671826171876,False,REGULAR,USD
JPM241129C00270000,2024-11-22 19:38:48+00:00,270.0,0.02,0.0,0.01,0.0,0.0,11.0,39,0.273444765625,False,REGULAR,USD
JPM241129C00272500,2024-11-18 15:02:31+00:00,272.5,0.03,0.0,0.01,0.0,0.0,,6,0.304694453125,False,REGULAR,USD
JPM241129C00275000,2024-11-14 15:40:42+00:00,275.0,0.07,0.0,0.05,0.0,0.0,3.0,74,0.40430283203125,False,REGULAR,USD
JPM241129C00280000,2024-11-07 19:16:38+00:00,280.0,0.04,0.0,0.1,0.0,0.0,1.0,11,0.51758294921875,False,REGULAR,USD
JPM241129C00285000,2024-11-06 19:45:32+00:00,285.0,0.09,0.0,1.27,0.0,0.0,,14,0.815431533203125,False,REGULAR,USD
JPM241129C00290000,2024-11-06 18:50:24+00:00,290.0,0.07,0.0,1.27,0.0,0.0,,1,0.8974619628906249,False,REGULAR,USD
JPM241129C00350000,2024-11-21 15:59:20+00:00,350.0,0.03,0.0,1.27,0.0,0.0,,3,1.7138686181640623,False,REGULAR,USD
