,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,JPM241129P00110000,2024-11-11 18:07:16+00:00,110.0,0.05,0.0,1.27,0.0,0.0,,15,3.9960937597656248,False,REGULAR,USD
1,JPM241129P00115000,2024-11-20 18:51:17+00:00,115.0,0.03,0.0,1.27,0.0,0.0,1.0,2,3.798828627929688,False,REGULAR,USD
2,JPM241129P00155000,2024-10-21 17:34:17+00:00,155.0,0.09,0.0,0.18,0.0,0.0,,1,1.8671881640625,False,REGULAR,USD
3,JPM241129P00160000,2024-11-04 15:21:24+00:00,160.0,0.05,0.0,1.27,0.0,0.0,,1,2.330082299804687,False,REGULAR,USD
4,JPM241129P00165000,2024-11-22 17:51:19+00:00,165.0,0.03,0.0,1.27,0.0,0.0,4.0,3,2.1914107714843745,False,REGULAR,USD
5,JPM241129P00170000,2024-11-04 20:55:17+00:00,170.0,0.19,0.0,1.27,0.0,0.0,7.0,17,2.0556689233398435,False,REGULAR,USD
6,JPM241129P00175000,2024-11-22 18:02:24+00:00,175.0,0.01,0.0,0.01,0.0,0.0,89.0,105,1.0625046875000002,False,REGULAR,USD
7,JPM241129P00180000,2024-11-22 18:59:47+00:00,180.0,0.01,0.0,0.01,0.0,0.0,40.0,88,1.000005,False,REGULAR,USD
8,JPM241129P00185000,2024-11-20 15:29:45+00:00,185.0,0.02,0.0,1.27,0.0,0.0,2.0,20,1.6679704101562502,False,REGULAR,USD
9,JPM241129P00190000,2024-11-20 19:15:22+00:00,190.0,0.02,0.0,0.02,0.0,0.0,11.0,111,0.8906260937499999,False,REGULAR,USD
10,JPM241129P00195000,2024-11-20 18:50:38+00:00,195.0,0.04,0.0,1.27,0.0,0.0,2.0,142,1.421877890625,False,REGULAR,USD
11,JPM241129P00200000,2024-11-25 19:12:30+00:00,200.0,0.02,0.0,0.03,0.0,0.0,2.0,169,0.773439765625,False,REGULAR,USD
12,JPM241129P00205000,2024-11-25 16:49:31+00:00,205.0,0.01,0.0,0.05,-0.02,-66.66667,52.0,336,0.73437765625,False,REGULAR,USD
13,JPM241129P00207500,2024-11-20 20:02:58+00:00,207.5,0.06,0.0,1.27,0.0,0.0,,21,1.125004375,False,REGULAR,USD
14,JPM241129P00210000,2024-11-25 14:39:45+00:00,210.0,0.01,0.0,0.01,-0.01,-50.0,79.0,322,0.5625043750000001,False,REGULAR,USD
15,JPM241129P00212500,2024-11-25 16:51:43+00:00,212.5,0.01,0.0,0.01,-0.080000006,-88.88889,2.0,24,0.5312546875,False,REGULAR,USD
16,JPM241129P00215000,2024-11-25 17:44:17+00:00,215.0,0.02,0.0,0.02,0.0,0.0,11.0,291,0.51562984375,False,REGULAR,USD
17,JPM241129P00217500,2024-11-25 19:30:14+00:00,217.5,0.01,0.0,0.04,-0.03,-75.0,3.0,483,0.5195360546875,False,REGULAR,USD
18,JPM241129P00220000,2024-11-25 16:04:55+00:00,220.0,0.01,0.0,0.02,-0.02,-66.66667,8.0,412,0.48438015625,False,REGULAR,USD
