contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
KO241129C00040000,2024-11-12 18:05:47+00:00,40.0,23.33,22.0,25.95,0.0,0.0,1.0,1,4.2089891137695306,True,REGULAR,USD
KO241129C00045000,2024-11-18 18:35:17+00:00,45.0,17.02,17.0,21.6,0.0,0.0,1.0,2,3.865234711914063,True,REGULAR,USD
KO241129C00050000,2024-11-22 20:59:51+00:00,50.0,13.95,12.0,16.0,0.0,0.0,2.0,1,2.701175122070312,True,REGULAR,USD
KO241129C00051000,2024-11-22 14:31:05+00:00,51.0,11.35,11.0,15.5,0.0,0.0,1.0,1,2.8554716113281247,True,REGULAR,USD
KO241129C00054000,2024-11-18 18:27:16+00:00,54.0,8.04,9.2,11.4,0.0,0.0,1.0,2,1.783204208984375,True,REGULAR,USD
KO241129C00055000,2024-11-22 20:24:31+00:00,55.0,8.86,7.35,10.3,0.0,0.0,1.0,12,1.5957051464843748,True,REGULAR,USD
KO241129C00056000,2024-11-19 16:27:12+00:00,56.0,6.06,8.2,10.5,0.0,0.0,1.0,1,1.501955615234375,True,REGULAR,USD
KO241129C00057000,2024-11-14 15:08:21+00:00,57.0,5.85,6.2,9.25,0.0,0.0,,1,0.9687503125,True,REGULAR,USD
KO241129C00058000,2024-11-22 14:30:11+00:00,58.0,6.4,5.25,6.95,0.0,0.0,2.0,40,1.021489267578125,True,REGULAR,USD
KO241129C00059000,2024-11-22 14:57:42+00:00,59.0,5.3,5.25,6.35,0.0,0.0,1.0,28,0.815431533203125,True,REGULAR,USD
KO241129C00060000,2024-11-25 18:45:18+00:00,60.0,4.1,4.2,5.1,0.16999984,4.325696,16.0,266,0.6093789062500001,True,REGULAR,USD
KO241129C00061000,2024-11-25 20:14:17+00:00,61.0,3.05,2.83,4.55,0.07999992,2.6936002,25.0,146,0.53320779296875,True,REGULAR,USD
KO241129C00062000,2024-11-25 20:38:21+00:00,62.0,2.0,2.23,2.53,-0.01999998,-0.99009806,46.0,1037,0.32813171874999997,True,REGULAR,USD
KO241129C00063000,2024-11-25 20:23:24+00:00,63.0,1.34,1.35,1.58,0.26,24.074074,455.0,989,0.25489026367187506,True,REGULAR,USD
KO241129C00064000,2024-11-25 20:59:39+00:00,64.0,0.48,0.51,0.58,0.06999999,17.073168,2044.0,2263,0.133797724609375,True,REGULAR,USD
KO241129C00065000,2024-11-25 20:59:23+00:00,65.0,0.1,0.08,0.12,-0.04,-28.571428,11108.0,10614,0.127938408203125,False,REGULAR,USD
KO241129C00066000,2024-11-25 20:55:42+00:00,66.0,0.01,0.02,0.04,-0.03,-75.0,1035.0,3071,0.16797707031250003,False,REGULAR,USD
KO241129C00067000,2024-11-25 20:59:52+00:00,67.0,0.01,0.0,0.01,0.0,0.0,216.0,1988,0.187508125,False,REGULAR,USD
KO241129C00068000,2024-11-25 20:50:00+00:00,68.0,0.01,0.0,0.01,-0.080000006,-88.88889,39.0,1082,0.242195078125,False,REGULAR,USD
KO241129C00069000,2024-11-25 14:30:08+00:00,69.0,0.01,0.0,0.01,-0.09,-90.0,3.0,729,0.29688203124999996,False,REGULAR,USD
KO241129C00070000,2024-11-25 18:43:10+00:00,70.0,0.01,0.0,0.01,0.0,0.0,12.0,14653,0.35156898437499995,False,REGULAR,USD
KO241129C00071000,2024-11-20 16:23:13+00:00,71.0,0.14,0.0,0.01,0.0,0.0,74.0,526,0.4062559375,False,REGULAR,USD
KO241129C00072000,2024-11-25 18:00:26+00:00,72.0,0.04,0.0,0.05,0.03,300.0,50.0,488,0.51562984375,False,REGULAR,USD
KO241129C00073000,2024-11-22 18:59:57+00:00,73.0,0.03,0.0,0.01,0.0,0.0,3.0,1109,0.500005,False,REGULAR,USD
KO241129C00074000,2024-11-19 14:33:50+00:00,74.0,0.01,0.0,0.15,0.0,0.0,1.0,12,0.7382838671874999,False,REGULAR,USD
KO241129C00075000,2024-10-28 15:27:05+00:00,75.0,0.06,0.0,0.15,0.0,0.0,2.0,24,0.7929708203125,False,REGULAR,USD
KO241129C00076000,2024-11-12 15:31:36+00:00,76.0,0.07,0.0,0.15,0.0,0.0,4.0,13,0.8476577734374999,False,REGULAR,USD
KO241129C00077000,2024-11-04 16:38:36+00:00,77.0,0.09,0.0,0.15,0.0,0.0,15.0,6,0.9023447265625,False,REGULAR,USD
KO241129C00079000,2024-11-01 19:18:18+00:00,79.0,0.03,0.0,0.15,0.0,0.0,1.0,2,1.0078174609375,False,REGULAR,USD
KO241129C00080000,2024-10-14 15:05:04+00:00,80.0,0.03,0.0,0.01,0.0,0.0,,2,0.7500025,False,REGULAR,USD
KO241129C00081000,2024-11-04 14:49:06+00:00,81.0,0.06,0.0,0.15,0.0,0.0,,3,1.109379453125,False,REGULAR,USD
KO241129C00082000,2024-11-22 14:30:03+00:00,82.0,0.01,0.0,0.01,0.0,0.0,1.0,1,0.8125018749999999,False,REGULAR,USD
