,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,KO241129P00053000,2024-11-05 20:42:45+00:00,53.0,0.01,0.0,0.15,0.0,0.0,,1,0.99804689453125,False,REGULAR,USD
1,KO241129P00055000,2024-11-25 15:02:28+00:00,55.0,0.01,0.0,0.01,-0.03,-75.0,1.0,52,0.5625043750000001,False,REGULAR,USD
2,KO241129P00056000,2024-11-22 19:53:14+00:00,56.0,0.01,0.0,0.18,0.0,0.0,100.0,113,0.7851583984375,False,REGULAR,USD
3,KO241129P00057000,2024-11-22 19:53:54+00:00,57.0,0.01,0.0,0.01,0.0,0.0,600.0,649,0.500005,False,REGULAR,USD
4,KO241129P00058000,2024-11-21 20:55:27+00:00,58.0,0.09,0.0,0.02,0.020000003,28.571432,1.0,29,0.476567734375,False,REGULAR,USD
5,KO241129P00059000,2024-11-25 18:25:45+00:00,59.0,0.01,0.0,0.02,-0.04,-80.00001,7.0,284,0.4062559375,False,REGULAR,USD
6,KO241129P00060000,2024-11-25 20:20:22+00:00,60.0,0.01,0.0,0.01,-0.02,-66.66667,20.0,851,0.304694453125,False,REGULAR,USD
7,KO241129P00061000,2024-11-25 20:34:07+00:00,61.0,0.01,0.01,0.02,-0.03,-75.0,300.0,650,0.273444765625,False,REGULAR,USD
8,KO241129P00062000,2024-11-25 20:59:33+00:00,62.0,0.04,0.03,0.04,-0.04,-50.0,499.0,3283,0.23242955078125,False,REGULAR,USD
9,KO241129P00063000,2024-11-25 20:59:48+00:00,63.0,0.1,0.06,0.1,-0.15,-60.000004,728.0,1418,0.19727365234375,False,REGULAR,USD
10,KO241129P00064000,2024-11-25 20:53:35+00:00,64.0,0.45,0.25,0.45,-0.28000003,-38.356167,618.0,1149,0.23194127441406248,False,REGULAR,USD
11,KO241129P00065000,2024-11-25 20:43:48+00:00,65.0,1.46,1.01,1.29,-0.13,-8.176101,336.0,418,0.3505924316406249,True,REGULAR,USD
12,KO241129P00066000,2024-11-25 19:10:00+00:00,66.0,2.42,1.89,2.29,-0.089999914,-3.585654,15.0,302,0.48730981445312505,True,REGULAR,USD
13,KO241129P00067000,2024-11-25 19:36:33+00:00,67.0,3.44,2.42,3.25,-0.15999985,-4.4444404,11.0,186,0.58789474609375,True,REGULAR,USD
14,KO241129P00068000,2024-11-25 20:53:05+00:00,68.0,4.37,3.05,4.25,-0.3499999,-7.415253,3.0,106,0.6953155468750001,True,REGULAR,USD
15,KO241129P00069000,2024-11-22 15:32:09+00:00,69.0,5.45,3.1,5.25,0.0,0.0,1.0,472,0.795900478515625,True,REGULAR,USD
16,KO241129P00070000,2024-11-25 17:46:05+00:00,70.0,6.34,4.35,6.25,-0.21000004,-3.2061074,2.0,1133,0.8906260937499999,True,REGULAR,USD
17,KO241129P00071000,2024-11-25 16:03:03+00:00,71.0,7.19,6.05,7.25,1.6399999,29.549545,3.0,17,0.9804689453125001,True,REGULAR,USD
18,KO241129P00072000,2024-11-25 14:50:22+00:00,72.0,7.7,5.75,8.25,-0.8299999,-9.730363,1.0,5,1.0664109179687502,True,REGULAR,USD
19,KO241129P00074000,2024-10-11 19:39:53+00:00,74.0,4.75,11.55,11.9,0.0,0.0,,0,1.9658204833984376,True,REGULAR,USD
20,KO241129P00075000,2024-11-20 14:43:03+00:00,75.0,13.05,10.05,12.25,0.0,0.0,2.0,11,1.2402381738281247,True,REGULAR,USD
21,KO241129P00076000,2024-11-20 14:43:03+00:00,76.0,14.05,9.9,13.25,0.0,0.0,2.0,57,1.9296878515625,True,REGULAR,USD
22,KO241129P00077000,2024-10-31 13:38:59+00:00,77.0,11.5,10.9,15.3,0.0,0.0,1.0,148,1.3457063964843747,True,REGULAR,USD
23,KO241129P00078000,2024-11-20 14:43:07+00:00,78.0,16.05,11.95,15.85,0.0,0.0,2.0,3,1.2382850585937497,True,REGULAR,USD
24,KO241129P00079000,2024-11-20 14:43:12+00:00,79.0,17.05,12.5,17.0,0.0,0.0,2.0,2,1.109379453125,True,REGULAR,USD
25,KO241129P00080000,2024-11-19 14:51:08+00:00,80.0,18.7,13.8,18.5,0.0,0.0,1.0,8,1.5839864550781246,True,REGULAR,USD
