,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT241129C00240000,2024-11-14 15:37:05+00:00,240.0,186.69,178.0,181.25,0.0,0.0,,0,2.7089876025390627,True,REGULAR,USD
1,MSFT241129C00295000,2024-11-18 14:33:36+00:00,295.0,119.72,123.05,126.05,0.0,0.0,1.0,0,1.7802745361328123,True,REGULAR,USD
2,MSFT241129C00300000,2024-11-20 17:58:31+00:00,300.0,113.75,118.05,121.05,0.0,0.0,11.0,8,1.706544436035156,True,REGULAR,USD
3,MSFT241129C00310000,2024-11-15 20:26:40+00:00,310.0,105.35,108.05,111.05,0.0,0.0,,6,1.5625021874999998,True,REGULAR,USD
4,MSFT241129C00320000,2024-11-22 19:46:36+00:00,320.0,94.77,98.1,101.45,0.0,0.0,1.0,0,1.4912134814453122,True,REGULAR,USD
5,MSFT241129C00325000,2024-11-25 14:53:02+00:00,325.0,92.2,92.2,96.35,2.1299973,2.3648243,6.0,14,1.2509803076171875,True,REGULAR,USD
6,MSFT241129C00330000,2024-10-30 13:36:06+00:00,330.0,108.1,88.15,91.0,0.0,0.0,,0,1.291019169921875,True,REGULAR,USD
7,MSFT241129C00340000,2024-11-15 18:56:32+00:00,340.0,74.72,78.15,81.0,0.0,0.0,2.0,0,1.154301103515625,True,REGULAR,USD
8,MSFT241129C00350000,2024-11-21 16:39:19+00:00,350.0,64.15,68.1,69.85,0.0,0.0,2.0,14,0.8007832421875,True,REGULAR,USD
9,MSFT241129C00355000,2024-11-22 19:26:13+00:00,355.0,60.55,63.1,64.85,0.0,0.0,6.0,10,0.745119736328125,True,REGULAR,USD
10,MSFT241129C00360000,2024-11-20 20:18:58+00:00,360.0,54.01,58.3,59.65,0.0,0.0,3.0,4,0.6904327832031252,True,REGULAR,USD
11,MSFT241129C00365000,2024-11-25 16:52:08+00:00,365.0,51.17,53.25,54.8,2.2699966,4.64212,2.0,2,0.659183095703125,True,REGULAR,USD
12,MSFT241129C00370000,2024-11-25 14:57:28+00:00,370.0,48.1,48.15,49.75,3.1699982,7.0554156,6.0,12,0.56836369140625,True,REGULAR,USD
13,MSFT241129C00372500,2024-11-22 20:03:03+00:00,372.5,42.98,45.7,47.3,0.0,0.0,4.0,13,0.5654340332031251,True,REGULAR,USD
14,MSFT241129C00375000,2024-11-25 18:47:00+00:00,375.0,42.5,43.15,44.9,2.6399994,6.6231794,1.0,5,0.5478560839843751,True,REGULAR,USD
