,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,MSFT241129P00230000,2024-11-20 17:09:58+00:00,230.0,0.01,0.0,0.01,0.0,0.0,3.0,18,1.6875015625,False,REGULAR,USD
1,MSFT241129P00250000,2024-10-18 19:45:54+00:00,250.0,0.04,0.0,0.0,0.0,0.0,3.0,0,0.500005,False,REGULAR,USD
2,MSFT241129P00260000,2024-11-22 20:25:24+00:00,260.0,0.01,0.0,0.01,0.0,0.0,908.0,914,1.3750031249999999,False,REGULAR,USD
3,MSFT241129P00270000,2024-11-22 20:39:47+00:00,270.0,0.01,0.0,0.01,0.0,0.0,773.0,784,1.2500037499999999,False,REGULAR,USD
4,MSFT241129P00280000,2024-11-15 18:26:13+00:00,280.0,0.03,0.0,0.01,0.0,0.0,2.0,8,1.15625421875,False,REGULAR,USD
5,MSFT241129P00290000,2024-11-19 20:48:00+00:00,290.0,0.01,0.0,0.01,0.0,0.0,1.0,20,1.0625046875000002,False,REGULAR,USD
6,MSFT241129P00295000,2024-11-05 16:51:12+00:00,295.0,0.04,0.0,0.01,0.0,0.0,5.0,7,1.0312548437500002,False,REGULAR,USD
7,MSFT241129P00300000,2024-11-05 16:50:37+00:00,300.0,0.04,0.0,0.01,0.0,0.0,5.0,60,0.9687503125,False,REGULAR,USD
8,MSFT241129P00305000,2024-11-22 14:54:36+00:00,305.0,0.01,0.0,0.01,0.0,0.0,2.0,9,0.937500625,False,REGULAR,USD
9,MSFT241129P00310000,2024-11-20 15:15:51+00:00,310.0,0.02,0.0,0.01,0.0,0.0,35.0,48,0.87500125,False,REGULAR,USD
10,MSFT241129P00315000,2024-11-22 14:33:16+00:00,315.0,0.01,0.0,0.01,0.0,0.0,25.0,493,0.8437515624999999,False,REGULAR,USD
11,MSFT241129P00320000,2024-11-22 20:33:36+00:00,320.0,0.02,0.0,0.01,0.0,0.0,7.0,74,0.79687703125,False,REGULAR,USD
12,MSFT241129P00325000,2024-11-22 19:04:20+00:00,325.0,0.01,0.0,0.01,0.0,0.0,50.0,135,0.7500025,False,REGULAR,USD
13,MSFT241129P00330000,2024-11-22 20:24:36+00:00,330.0,0.01,0.0,0.01,0.0,0.0,84.0,132,0.7187528125,False,REGULAR,USD
14,MSFT241129P00335000,2024-11-20 14:55:42+00:00,335.0,0.03,0.0,0.01,0.0,0.0,2.0,50,0.6718782812500002,False,REGULAR,USD
15,MSFT241129P00340000,2024-11-21 18:36:46+00:00,340.0,0.02,0.0,0.01,0.0,0.0,7.0,42,0.6250037500000001,False,REGULAR,USD
16,MSFT241129P00345000,2024-11-22 20:31:31+00:00,345.0,0.02,0.0,0.01,0.0,0.0,22.0,352,0.5937540625000001,False,REGULAR,USD
17,MSFT241129P00350000,2024-11-25 17:18:02+00:00,350.0,0.01,0.0,0.02,-0.01,-50.0,2.0,1136,0.57812921875,False,REGULAR,USD
18,MSFT241129P00352500,2024-11-25 19:07:13+00:00,352.5,0.01,0.0,0.02,-0.04,-80.00001,20.0,14,0.5546919531250001,False,REGULAR,USD
19,MSFT241129P00355000,2024-11-25 18:00:19+00:00,355.0,0.02,0.01,0.02,-0.01,-33.333336,103.0,257,0.5546919531250001,False,REGULAR,USD
20,MSFT241129P00357500,2024-11-22 19:09:45+00:00,357.5,0.03,0.0,0.02,0.0,0.0,1.0,36,0.51562984375,False,REGULAR,USD
21,MSFT241129P00360000,2024-11-25 17:59:31+00:00,360.0,0.02,0.0,0.02,-0.01,-33.333336,70.0,549,0.5273484765625001,False,REGULAR,USD
22,MSFT241129P00362500,2024-11-25 19:37:19+00:00,362.5,0.01,0.01,0.02,-0.04,-80.00001,4.0,43,0.507817421875,False,REGULAR,USD
23,MSFT241129P00365000,2024-11-25 20:09:26+00:00,365.0,0.02,0.01,0.02,-0.030000001,-60.0,83.0,489,0.48438015625,False,REGULAR,USD
24,MSFT241129P00367500,2024-11-25 20:43:40+00:00,367.5,0.02,0.01,0.03,-0.04,-66.66667,4.0,135,0.4804739453125,False,REGULAR,USD
25,MSFT241129P00370000,2024-11-25 20:41:02+00:00,370.0,0.03,0.01,0.03,-0.03,-50.0,126.0,1075,0.46094289062500005,False,REGULAR,USD
26,MSFT241129P00372500,2024-11-25 14:53:44+00:00,372.5,0.05,0.01,0.03,-0.02,-28.571428,101.0,324,0.437505625,False,REGULAR,USD
27,MSFT241129P00375000,2024-11-25 20:55:10+00:00,375.0,0.02,0.02,0.03,-0.06,-75.0,127.0,1572,0.414068359375,False,REGULAR,USD
28,MSFT241129P00377500,2024-11-25 16:30:15+00:00,377.5,0.04,0.02,0.04,-0.04,-50.0,325.0,377,0.4062559375,False,REGULAR,USD
29,MSFT241129P00380000,2024-11-25 20:55:48+00:00,380.0,0.04,0.04,0.05,-0.060000002,-60.0,360.0,1735,0.39258419921875,False,REGULAR,USD
30,MSFT241129P00382500,2024-11-25 20:42:50+00:00,382.5,0.05,0.03,0.05,-0.06,-54.545456,57.0,401,0.36914693359375,False,REGULAR,USD
31,MSFT241129P00385000,2024-11-25 20:50:02+00:00,385.0,0.05,0.04,0.05,-0.06,-54.545456,196.0,2072,0.34570966796874997,False,REGULAR,USD
32,MSFT241129P00387500,2024-11-25 20:58:59+00:00,387.5,0.06,0.04,0.06,-0.08,-57.142857,189.0,347,0.33008482421874996,False,REGULAR,USD
33,MSFT241129P00390000,2024-11-25 20:45:03+00:00,390.0,0.07,0.05,0.07,-0.080000006,-53.333336,667.0,3273,0.313483427734375,False,REGULAR,USD
34,MSFT241129P00392500,2024-11-25 20:44:56+00:00,392.5,0.08,0.06,0.08,-0.11,-57.894737,650.0,988,0.29492892578124996,False,REGULAR,USD
35,MSFT241129P00395000,2024-11-25 20:56:40+00:00,395.0,0.08,0.07,0.09,-0.11,-57.894737,939.0,3779,0.274421318359375,False,REGULAR,USD
36,MSFT241129P00397500,2024-11-25 20:58:59+00:00,397.5,0.1,0.09,0.1,-0.15,-60.000004,648.0,497,0.252937158203125,False,REGULAR,USD
37,MSFT241129P00400000,2024-11-25 20:59:44+00:00,400.0,0.11,0.11,0.12,-0.2,-64.51613,4187.0,5420,0.23438265625,False,REGULAR,USD
38,MSFT241129P00402500,2024-11-25 20:55:38+00:00,402.5,0.15,0.13,0.16,-0.25,-62.5,2169.0,2176,0.2192460888671875,False,REGULAR,USD
39,MSFT241129P00405000,2024-11-25 20:59:58+00:00,405.0,0.19,0.19,0.2,-0.33999997,-64.15094,2361.0,3778,0.1997150341796875,False,REGULAR,USD
40,MSFT241129P00407500,2024-11-25 20:57:29+00:00,407.5,0.29,0.26,0.29,-0.48999998,-62.82051,1799.0,1311,0.18555501953124998,False,REGULAR,USD
41,MSFT241129P00410000,2024-11-25 20:59:42+00:00,410.0,0.43,0.42,0.45,-0.74999994,-63.55932,3322.0,2518,0.1733481103515625,False,REGULAR,USD
42,MSFT241129P00412500,2024-11-25 20:59:53+00:00,412.5,0.68,0.67,0.72,-0.97999996,-59.03614,2667.0,1712,0.16211775390625,False,REGULAR,USD
43,MSFT241129P00415000,2024-11-25 20:59:44+00:00,415.0,1.18,1.11,1.2,-1.2700001,-51.83674,5906.0,2854,0.15393912475585939,False,REGULAR,USD
44,MSFT241129P00417500,2024-11-25 20:59:44+00:00,417.5,1.84,1.83,1.97,-1.5600001,-45.88235,1986.0,1366,0.14685911743164062,False,REGULAR,USD
45,MSFT241129P00420000,2024-11-25 20:57:44+00:00,420.0,3.05,2.97,3.15,-1.6499999,-35.10638,1506.0,2473,0.14270876831054688,True,REGULAR,USD
46,MSFT241129P00422500,2024-11-25 20:53:24+00:00,422.5,4.55,4.5,4.75,-1.8499999,-28.906248,572.0,385,0.14026738647460937,True,REGULAR,USD
47,MSFT241129P00425000,2024-11-25 20:57:37+00:00,425.0,6.51,5.9,6.85,-1.79,-21.566265,281.0,929,0.15161981201171876,True,REGULAR,USD
