contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
NVDA241129C00050000,2024-11-25 20:16:37+00:00,50.0,86.75,85.75,86.35,-4.919998,-5.3670754,16,95,3.5156262109374996,True,REGULAR,USD
NVDA241129C00055000,2024-11-25 16:57:31+00:00,55.0,82.74,80.8,81.35,-4.2400055,-4.87469,111,126,3.406251484375,True,REGULAR,USD
NVDA241129C00060000,2024-11-25 14:41:45+00:00,60.0,79.8,75.8,76.35,-2.7299957,-3.307883,1,11,3.1093772265624997,True,REGULAR,USD
NVDA241129C00065000,2024-11-25 16:12:44+00:00,65.0,72.6,70.8,71.35,-4.550003,-5.897606,1,23,2.82031544921875,True,REGULAR,USD
NVDA241129C00070000,2024-11-22 18:20:20+00:00,70.0,72.25,65.8,66.35,0.0,0.0,67,192,2.5546911132812498,True,REGULAR,USD
NVDA241129C00075000,2024-11-25 14:51:23+00:00,75.0,63.73,60.8,61.35,-3.3100014,-4.9373527,1,81,2.3125042187499996,True,REGULAR,USD
NVDA241129C00080000,2024-11-25 17:39:09+00:00,80.0,57.03,55.8,56.35,-4.8899994,-7.897286,13,100,2.0781298046874994,True,REGULAR,USD
NVDA241129C00085000,2024-11-25 16:57:31+00:00,85.0,51.7,50.8,51.35,-4.9399986,-8.721749,104,261,1.859375703125,True,REGULAR,USD
NVDA241129C00090000,2024-11-25 20:17:18+00:00,90.0,46.79,45.85,46.25,-5.2700005,-10.122936,97,178,1.5468772656249998,True,REGULAR,USD
NVDA241129C00093000,2024-11-22 20:54:10+00:00,93.0,49.05,42.8,43.25,0.0,0.0,17,15,1.1875040625,True,REGULAR,USD
NVDA241129C00094000,2024-11-22 19:21:24+00:00,94.0,47.45,41.8,42.25,0.0,0.0,1,1,1.15625421875,True,REGULAR,USD
NVDA241129C00095000,2024-11-25 18:59:08+00:00,95.0,41.72,40.8,41.35,-5.029999,-10.759356,2,133,1.4609401953124999,True,REGULAR,USD
NVDA241129C00096000,2024-11-22 17:22:10+00:00,96.0,46.45,39.8,40.25,0.0,0.0,12,13,1.09375453125,True,REGULAR,USD
