,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,NVDA241129P00050000,2024-11-25 19:24:51+00:00,50.0,0.01,0.0,0.01,0.0,0.0,56.0,19297,3.0000025,False,REGULAR,USD
1,NVDA241129P00055000,2024-11-22 17:31:48+00:00,55.0,0.01,0.0,0.01,0.0,0.0,5130.0,12683,2.750003125,False,REGULAR,USD
2,NVDA241129P00060000,2024-11-22 18:29:22+00:00,60.0,0.01,0.0,0.01,0.0,0.0,3287.0,11032,2.50000375,False,REGULAR,USD
3,NVDA241129P00065000,2024-11-22 20:53:03+00:00,65.0,0.01,0.0,0.01,0.0,0.0,1414.0,4492,2.2500043749999996,False,REGULAR,USD
4,NVDA241129P00070000,2024-11-25 14:43:54+00:00,70.0,0.01,0.0,0.01,0.0,0.0,40.0,8018,2.000005,False,REGULAR,USD
5,NVDA241129P00075000,2024-11-25 16:02:25+00:00,75.0,0.01,0.0,0.01,0.0,0.0,105.0,11910,1.8125009374999999,False,REGULAR,USD
6,NVDA241129P00080000,2024-11-25 17:46:31+00:00,80.0,0.01,0.0,0.01,-0.01,-50.0,49.0,50134,1.625001875,False,REGULAR,USD
7,NVDA241129P00085000,2024-11-25 16:19:13+00:00,85.0,0.01,0.0,0.01,0.0,0.0,41.0,14579,1.46875265625,False,REGULAR,USD
8,NVDA241129P00090000,2024-11-25 20:01:28+00:00,90.0,0.01,0.0,0.01,-0.02,-66.66667,432.0,17585,1.3125034374999998,False,REGULAR,USD
9,NVDA241129P00093000,2024-11-25 20:57:04+00:00,93.0,0.01,0.0,0.01,-0.01,-50.0,142.0,2484,1.1875040625,False,REGULAR,USD
10,NVDA241129P00094000,2024-11-25 20:56:50+00:00,94.0,0.01,0.0,0.01,-0.02,-66.66667,83.0,943,1.1875040625,False,REGULAR,USD
11,NVDA241129P00095000,2024-11-25 19:11:58+00:00,95.0,0.01,0.0,0.01,-0.01,-50.0,74.0,28175,1.125004375,False,REGULAR,USD
12,NVDA241129P00096000,2024-11-25 14:55:46+00:00,96.0,0.01,0.0,0.01,-0.02,-66.66667,184.0,561,1.125004375,False,REGULAR,USD
13,NVDA241129P00097000,2024-11-25 16:20:23+00:00,97.0,0.01,0.0,0.01,-0.02,-66.66667,243.0,1888,1.0625046875000002,False,REGULAR,USD
14,NVDA241129P00098000,2024-11-25 18:14:20+00:00,98.0,0.01,0.0,0.01,-0.03,-75.0,197.0,1877,1.0625046875000002,False,REGULAR,USD
15,NVDA241129P00099000,2024-11-25 19:42:25+00:00,99.0,0.01,0.0,0.02,-0.01,-50.0,336.0,1262,1.09375453125,False,REGULAR,USD
16,NVDA241129P00100000,2024-11-25 20:53:11+00:00,100.0,0.01,0.0,0.01,-0.02,-66.66667,1517.0,8012,0.9687503125,False,REGULAR,USD
17,NVDA241129P00101000,2024-11-25 20:31:53+00:00,101.0,0.01,0.0,0.01,-0.02,-66.66667,127.0,6889,0.9687503125,False,REGULAR,USD
18,NVDA241129P00102000,2024-11-25 20:52:55+00:00,102.0,0.01,0.0,0.01,-0.02,-66.66667,258.0,3409,0.937500625,False,REGULAR,USD
19,NVDA241129P00103000,2024-11-25 19:57:58+00:00,103.0,0.01,0.0,0.02,-0.02,-66.66667,1952.0,1089,0.9531254687499999,False,REGULAR,USD
20,NVDA241129P00104000,2024-11-25 19:40:04+00:00,104.0,0.01,0.0,0.02,-0.03,-75.0,1054.0,1121,0.92187578125,False,REGULAR,USD
21,NVDA241129P00105000,2024-11-25 19:40:04+00:00,105.0,0.01,0.01,0.02,-0.02,-66.66667,989.0,5675,0.937500625,False,REGULAR,USD
22,NVDA241129P00106000,2024-11-25 20:50:43+00:00,106.0,0.02,0.01,0.02,-0.02,-50.0,9.0,6555,0.9062509375,False,REGULAR,USD
23,NVDA241129P00107000,2024-11-25 20:05:48+00:00,107.0,0.01,0.01,0.02,-0.03,-75.0,297.0,2065,0.87500125,False,REGULAR,USD
24,NVDA241129P00108000,2024-11-25 20:46:46+00:00,108.0,0.02,0.01,0.04,-0.02,-50.0,1042.0,3387,0.8906260937499999,False,REGULAR,USD
25,NVDA241129P00109000,2024-11-25 20:22:18+00:00,109.0,0.02,0.01,0.02,-0.030000001,-60.0,1175.0,1331,0.8125018749999999,False,REGULAR,USD
26,NVDA241129P00110000,2024-11-25 19:29:30+00:00,110.0,0.02,0.01,0.02,-0.02,-50.0,1293.0,8170,0.7812521875,False,REGULAR,USD
27,NVDA241129P00111000,2024-11-25 20:59:59+00:00,111.0,0.02,0.01,0.02,-0.01,-33.333336,517.0,1452,0.7500025,False,REGULAR,USD
28,NVDA241129P00112000,2024-11-25 20:58:46+00:00,112.0,0.02,0.01,0.03,-0.02,-50.0,387.0,2642,0.7500025,False,REGULAR,USD
29,NVDA241129P00113000,2024-11-25 20:58:27+00:00,113.0,0.02,0.02,0.03,-0.02,-50.0,314.0,4341,0.73437765625,False,REGULAR,USD
30,NVDA241129P00114000,2024-11-25 20:55:55+00:00,114.0,0.03,0.02,0.03,-0.020000001,-40.000004,830.0,1107,0.70312796875,False,REGULAR,USD
31,NVDA241129P00115000,2024-11-25 20:22:20+00:00,115.0,0.02,0.02,0.03,-0.02,-50.0,1006.0,10110,0.6718782812500002,False,REGULAR,USD
32,NVDA241129P00116000,2024-11-25 20:58:31+00:00,116.0,0.03,0.02,0.03,-0.03,-50.0,169.0,2307,0.64062859375,False,REGULAR,USD
33,NVDA241129P00117000,2024-11-25 19:47:07+00:00,117.0,0.03,0.03,0.04,-0.03,-50.0,412.0,3110,0.6367223828125,False,REGULAR,USD
34,NVDA241129P00118000,2024-11-25 20:55:26+00:00,118.0,0.04,0.03,0.04,-0.030000001,-42.857143,341.0,1210,0.6054726953125001,False,REGULAR,USD
35,NVDA241129P00119000,2024-11-25 20:58:13+00:00,119.0,0.04,0.04,0.05,-0.02,-33.333336,946.0,1390,0.5937540625000001,False,REGULAR,USD
36,NVDA241129P00120000,2024-11-25 20:59:54+00:00,120.0,0.05,0.04,0.05,-0.009999998,-16.666662,5604.0,15903,0.5625043750000001,False,REGULAR,USD
37,NVDA241129P00121000,2024-11-25 20:57:13+00:00,121.0,0.06,0.05,0.06,-0.010000002,-14.285716,1064.0,3349,0.5468795312500001,False,REGULAR,USD
38,NVDA241129P00122000,2024-11-25 20:50:17+00:00,122.0,0.07,0.06,0.07,-0.009999998,-12.499997,611.0,2343,0.5273484765625001,False,REGULAR,USD
39,NVDA241129P00123000,2024-11-25 20:59:58+00:00,123.0,0.07,0.07,0.08,-0.020000003,-22.222223,4167.0,8973,0.50586431640625,False,REGULAR,USD
40,NVDA241129P00124000,2024-11-25 20:59:07+00:00,124.0,0.1,0.09,0.1,0.009999998,11.111108,2087.0,3839,0.49609878906250005,False,REGULAR,USD
41,NVDA241129P00125000,2024-11-25 20:59:33+00:00,125.0,0.13,0.12,0.13,0.029999994,29.999992,9239.0,11330,0.48340360351562506,False,REGULAR,USD
42,NVDA241129P00126000,2024-11-25 20:58:20+00:00,126.0,0.16,0.15,0.16,0.049999997,45.45454,3603.0,6156,0.46582565429687506,False,REGULAR,USD
43,NVDA241129P00127000,2024-11-25 20:59:52+00:00,127.0,0.19,0.19,0.2,0.060000002,46.153847,7217.0,3732,0.450200810546875,False,REGULAR,USD
44,NVDA241129P00128000,2024-11-25 20:59:54+00:00,128.0,0.25,0.25,0.26,0.099999994,66.66666,8490.0,4605,0.437505625,False,REGULAR,USD
45,NVDA241129P00129000,2024-11-25 20:59:58+00:00,129.0,0.34,0.33,0.34,0.16,88.888885,10196.0,6473,0.42627526855468756,False,REGULAR,USD
46,NVDA241129P00130000,2024-11-25 20:59:53+00:00,130.0,0.45,0.44,0.46,0.24,114.28572,41319.0,20444,0.41992767578125,False,REGULAR,USD
47,NVDA241129P00131000,2024-11-25 20:59:59+00:00,131.0,0.6,0.59,0.6,0.36,150.0,27339.0,5941,0.4096738720703125,False,REGULAR,USD
