contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
PFE241129C00018000,2024-11-25 14:32:58+00:00,18.0,8.1,7.85,9.0,0.5000005,6.5789533,101.0,102,2.67969080078125,True,REGULAR,USD
PFE241129C00020000,2024-11-19 15:52:06+00:00,20.0,6.0,5.55,6.7,1.0,20.0,1.0,35,2.605472236328125,True,REGULAR,USD
PFE241129C00021000,2024-11-22 14:49:09+00:00,21.0,4.47,5.0,5.9,0.0,0.0,15.0,16,1.8320320898437497,True,REGULAR,USD
PFE241129C00022000,2024-11-21 14:35:44+00:00,22.0,2.85,3.4,4.3,0.0,0.0,7.0,8,1.2382850585937497,True,REGULAR,USD
PFE241129C00022500,2024-11-22 20:35:02+00:00,22.5,3.1,3.6,3.8,0.0,0.0,16.0,16,0.804689453125,True,REGULAR,USD
PFE241129C00023000,2024-11-25 19:13:40+00:00,23.0,3.05,2.34,3.3,0.3499999,12.96296,2.0,25,0.992187578125,True,REGULAR,USD
PFE241129C00023500,2024-11-25 18:55:38+00:00,23.5,2.51,2.56,2.8,0.4100001,19.523813,4.0,66,0.500005,True,REGULAR,USD
PFE241129C00024000,2024-11-25 20:59:16+00:00,24.0,2.2,2.07,2.43,0.57000005,34.969326,201.0,1605,0.6445348046875,True,REGULAR,USD
PFE241129C00024500,2024-11-25 20:42:26+00:00,24.5,1.58,1.58,1.75,0.45000005,39.823013,23.0,1430,0.5273484765625001,True,REGULAR,USD
PFE241129C00025000,2024-11-25 20:59:53+00:00,25.0,1.22,1.02,1.26,0.45000005,58.441566,2434.0,5277,0.42578699218750005,True,REGULAR,USD
PFE241129C00025500,2024-11-25 20:56:51+00:00,25.5,0.69,0.68,0.78,0.31,81.57895,2125.0,5532,0.32031929687499994,True,REGULAR,USD
PFE241129C00026000,2024-11-25 20:59:29+00:00,26.0,0.36,0.3,0.36,0.18,99.99999,9937.0,12752,0.24414818359375,True,REGULAR,USD
PFE241129C00026500,2024-11-25 20:59:37+00:00,26.5,0.1,0.1,0.12,0.040000003,66.66668,20113.0,19188,0.22852333984375,False,REGULAR,USD
PFE241129C00027000,2024-11-25 20:59:17+00:00,27.0,0.03,0.03,0.04,-0.01,-25.0,5315.0,4847,0.2500075,False,REGULAR,USD
PFE241129C00027500,2024-11-25 20:59:29+00:00,27.5,0.02,0.01,0.02,0.0,0.0,914.0,2782,0.29688203124999996,False,REGULAR,USD
PFE241129C00028000,2024-11-25 18:03:40+00:00,28.0,0.01,0.0,0.01,0.0,0.0,1725.0,7786,0.335944140625,False,REGULAR,USD
PFE241129C00028500,2024-11-25 14:30:15+00:00,28.5,0.01,0.0,0.01,0.0,0.0,2.0,401,0.4062559375,False,REGULAR,USD
PFE241129C00029000,2024-11-25 15:47:05+00:00,29.0,0.01,0.0,0.01,0.0,0.0,20.0,5754,0.476567734375,False,REGULAR,USD
PFE241129C00029500,2024-11-22 16:58:27+00:00,29.5,0.01,0.0,0.01,0.0,0.0,2.0,111,0.500005,False,REGULAR,USD
PFE241129C00030000,2024-11-22 20:46:57+00:00,30.0,0.01,0.0,0.01,0.0,0.0,1.0,9061,0.5625043750000001,False,REGULAR,USD
PFE241129C00031000,2024-11-25 18:03:23+00:00,31.0,0.01,0.0,0.01,0.0,0.0,7.0,1045,0.6562534375000001,False,REGULAR,USD
PFE241129C00032000,2024-11-18 18:52:37+00:00,32.0,0.02,0.0,0.01,0.0,0.0,1.0,814,0.7812521875,False,REGULAR,USD
PFE241129C00033000,2024-11-12 15:29:27+00:00,33.0,0.01,0.0,0.03,0.0,0.0,22.0,109,1.000005,False,REGULAR,USD
PFE241129C00034000,2024-10-29 19:54:52+00:00,34.0,0.02,0.0,0.12,0.0,0.0,5.0,7,1.3828155859374998,False,REGULAR,USD
PFE241129C00035000,2024-11-05 15:44:42+00:00,35.0,0.06,0.0,0.01,0.0,0.0,50.0,63,1.0625046875000002,False,REGULAR,USD
PFE241129C00036000,2024-11-15 20:41:28+00:00,36.0,0.08,0.0,0.01,0.0,0.0,,2,1.15625421875,False,REGULAR,USD
PFE241129C00040000,2024-11-22 19:32:53+00:00,40.0,0.02,0.0,0.01,0.0,0.0,7.0,53,1.5000025,False,REGULAR,USD
