,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,PFE241129P00016000,2024-11-15 14:48:56+00:00,16.0,0.28,0.0,0.01,0.0,0.0,,1,1.75000125,False,REGULAR,USD
1,PFE241129P00018000,2024-11-19 14:49:41+00:00,18.0,0.01,0.0,0.01,0.0,0.0,31.0,321,1.3750031249999999,False,REGULAR,USD
2,PFE241129P00020000,2024-11-20 14:41:37+00:00,20.0,0.01,0.0,0.05,0.0,0.0,3.0,1623,1.2812535937499998,False,REGULAR,USD
3,PFE241129P00021000,2024-11-18 14:30:20+00:00,21.0,0.04,0.0,0.14,0.0,0.0,13.0,111,1.2968785156249998,False,REGULAR,USD
4,PFE241129P00022000,2024-11-21 19:26:29+00:00,22.0,0.01,0.0,0.01,0.0,0.0,8.0,110,0.6875031250000001,False,REGULAR,USD
5,PFE241129P00022500,2024-11-22 18:25:13+00:00,22.5,0.01,0.0,0.01,0.0,0.0,14.0,2132,0.6250037500000001,False,REGULAR,USD
6,PFE241129P00023000,2024-11-22 19:53:51+00:00,23.0,0.01,0.0,0.01,0.0,0.0,2169.0,2903,0.5312546875,False,REGULAR,USD
7,PFE241129P00023500,2024-11-25 19:51:07+00:00,23.5,0.01,0.0,0.01,0.0,0.0,1.0,1769,0.500005,False,REGULAR,USD
8,PFE241129P00024000,2024-11-25 20:49:59+00:00,24.0,0.01,0.0,0.01,-0.01,-50.0,150.0,17490,0.42188078125,False,REGULAR,USD
9,PFE241129P00024500,2024-11-25 20:58:11+00:00,24.5,0.01,0.01,0.02,-0.02,-66.66667,915.0,5286,0.37500625,False,REGULAR,USD
10,PFE241129P00025000,2024-11-25 20:42:26+00:00,25.0,0.03,0.02,0.03,-0.04,-57.142857,4547.0,10244,0.31250687499999996,False,REGULAR,USD
11,PFE241129P00025500,2024-11-25 20:59:08+00:00,25.5,0.05,0.04,0.06,-0.15,-75.0,1548.0,2188,0.25391371093750004,False,REGULAR,USD
12,PFE241129P00026000,2024-11-25 20:53:22+00:00,26.0,0.16,0.13,0.17,-0.38000003,-70.37038,5495.0,7442,0.22461712890624996,False,REGULAR,USD
13,PFE241129P00026500,2024-11-25 20:59:16+00:00,26.5,0.42,0.39,0.52,-0.53999996,-56.25,770.0,1769,0.29883513671874995,True,REGULAR,USD
14,PFE241129P00027000,2024-11-25 19:30:51+00:00,27.0,1.01,0.82,0.93,-0.43000007,-29.861115,31.0,765,0.34180345703125,True,REGULAR,USD
15,PFE241129P00027500,2024-11-25 19:40:25+00:00,27.5,1.57,1.18,2.0,-0.3499999,-18.229162,34.0,8,0.6640658593750002,True,REGULAR,USD
16,PFE241129P00028000,2024-11-25 20:57:07+00:00,28.0,1.9,1.56,2.31,-0.5300001,-21.810701,160.0,302,0.5722699023437501,True,REGULAR,USD
17,PFE241129P00028500,2024-11-22 17:20:38+00:00,28.5,2.42,2.25,2.59,-0.42999983,-15.087714,6.0,8,0.6445348046875,True,REGULAR,USD
18,PFE241129P00029000,2024-11-18 17:53:37+00:00,29.0,4.05,2.75,3.45,0.0,0.0,4.0,46,1.0293017285156252,True,REGULAR,USD
19,PFE241129P00030000,2024-11-25 20:19:40+00:00,30.0,4.0,3.6,3.9,-0.3499999,-8.045976,26.0,14,0.85937640625,True,REGULAR,USD
20,PFE241129P00031000,2024-11-25 14:32:15+00:00,31.0,4.85,4.7,4.95,0.0,0.0,1.0,6,1.140629296875,True,REGULAR,USD
21,PFE241129P00032000,2024-11-20 18:35:59+00:00,32.0,7.15,5.75,5.95,0.0,0.0,1.0,0,0.929688203125,True,REGULAR,USD
22,PFE241129P00033000,2024-11-01 15:50:18+00:00,33.0,5.1,6.6,6.95,0.0,0.0,1.0,0,1.4453152734375,True,REGULAR,USD
23,PFE241129P00037000,2024-10-18 13:47:18+00:00,37.0,8.15,11.8,13.2,0.0,0.0,1.0,0,4.214848481445312,True,REGULAR,USD
24,PFE241129P00040000,2024-11-22 15:00:21+00:00,40.0,14.5,13.75,13.95,0.0,0.0,1.0,1,1.75000125,True,REGULAR,USD
