contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
TSLA241129C00075000,2024-11-25 14:30:04+00:00,75.0,284.55,261.45,266.2,6.470001,2.3266692,6.0,4,5.92187759765625,True,REGULAR,USD
TSLA241129C00080000,2024-10-24 13:36:18+00:00,80.0,170.0,271.2,274.05,0.0,0.0,,1,12.906251933593751,True,REGULAR,USD
TSLA241129C00085000,2024-11-13 15:12:50+00:00,85.0,248.2,251.7,256.05,0.0,0.0,3.0,2,5.570315537109375,True,REGULAR,USD
TSLA241129C00090000,2024-11-18 15:20:38+00:00,90.0,255.9,246.7,251.35,0.0,0.0,1.0,2,5.652346684570313,True,REGULAR,USD
TSLA241129C00095000,2024-11-21 15:38:00+00:00,95.0,242.47,241.7,246.0,0.0,0.0,1.0,2,5.07812865234375,True,REGULAR,USD
TSLA241129C00100000,2024-11-22 16:23:11+00:00,100.0,253.17,236.5,241.15,0.0,0.0,1.0,11,4.824222719726562,True,REGULAR,USD
TSLA241129C00105000,2024-11-14 15:51:53+00:00,105.0,214.45,231.4,236.0,0.0,0.0,2.0,1,4.257817177734374,True,REGULAR,USD
TSLA241129C00110000,2024-11-22 18:10:51+00:00,110.0,244.02,226.5,231.0,0.0,0.0,7.0,4,4.265629667968749,True,REGULAR,USD
TSLA241129C00115000,2024-11-22 15:49:34+00:00,115.0,236.3,221.7,226.05,0.0,0.0,1.0,2,4.398442001953125,True,REGULAR,USD
TSLA241129C00120000,2024-11-22 20:47:59+00:00,120.0,233.37,216.65,221.15,0.0,0.0,177.0,181,4.2812546484375,True,REGULAR,USD
TSLA241129C00125000,2024-11-22 17:19:28+00:00,125.0,235.58,211.7,216.05,7.680008,3.3699026,1.0,1,4.0781299023437505,True,REGULAR,USD
TSLA241129C00130000,2024-11-25 18:32:45+00:00,130.0,220.02,206.75,211.2,11.12001,5.323126,2.0,2,4.083989270019532,True,REGULAR,USD
TSLA241129C00135000,2024-11-25 15:36:03+00:00,135.0,214.19,201.5,206.05,-5.2099915,-2.3746543,5.0,7,3.58593853515625,True,REGULAR,USD
TSLA241129C00140000,2024-11-21 16:14:31+00:00,140.0,201.3,196.75,201.15,0.0,0.0,2.0,14,3.7539068652343754,True,REGULAR,USD
TSLA241129C00145000,2024-11-21 15:03:36+00:00,145.0,198.08,191.55,196.0,0.0,0.0,4.0,17,3.3242204394531245,True,REGULAR,USD
TSLA241129C00150000,2024-11-25 15:50:57+00:00,150.0,201.68,186.55,191.15,-3.530014,-1.7201959,7.0,39,3.3359391601562494,True,REGULAR,USD
TSLA241129C00155000,2024-11-22 15:22:58+00:00,155.0,187.9,181.8,186.05,0.0,0.0,1.0,38,3.3203141992187497,True,REGULAR,USD
TSLA241129C00160000,2024-11-22 16:55:42+00:00,160.0,201.33,176.6,181.25,7.6900024,3.9712882,6.0,25,3.19531451171875,True,REGULAR,USD
