,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,TSLA241129P00075000,2024-11-25 20:16:52+00:00,75.0,0.01,0.0,0.01,0.0,0.0,56.0,962,4.12500484375,False,REGULAR,USD
1,TSLA241129P00080000,2024-11-14 14:48:07+00:00,80.0,0.02,0.0,0.01,0.0,0.0,2.0,145,4.000005,False,REGULAR,USD
2,TSLA241129P00085000,2024-11-15 16:49:41+00:00,85.0,0.04,0.0,0.01,0.0,0.0,100.0,38,3.8750003125,False,REGULAR,USD
3,TSLA241129P00090000,2024-11-22 14:57:53+00:00,90.0,0.01,0.0,0.01,0.0,0.0,2.0,661,3.6875007812500002,False,REGULAR,USD
4,TSLA241129P00095000,2024-11-22 16:26:16+00:00,95.0,0.01,0.0,0.01,0.0,0.0,2.0,276,3.50000125,False,REGULAR,USD
5,TSLA241129P00100000,2024-11-25 19:18:19+00:00,100.0,0.01,0.0,0.01,0.0,0.0,50.0,716,3.3750015624999996,False,REGULAR,USD
6,TSLA241129P00105000,2024-11-25 20:16:52+00:00,105.0,0.01,0.0,0.01,0.0,0.0,1.0,421,3.2500018749999997,False,REGULAR,USD
7,TSLA241129P00110000,2024-11-25 17:11:43+00:00,110.0,0.01,0.0,0.01,0.0,0.0,3.0,799,3.1250021875,False,REGULAR,USD
8,TSLA241129P00115000,2024-11-22 15:07:11+00:00,115.0,0.01,0.0,0.01,0.0,0.0,9.0,1502,3.0000025,False,REGULAR,USD
9,TSLA241129P00120000,2024-11-22 17:40:56+00:00,120.0,0.01,0.0,0.01,0.0,0.0,1.0,559,2.8750028125,False,REGULAR,USD
10,TSLA241129P00125000,2024-11-22 20:23:19+00:00,125.0,0.01,0.0,0.01,0.0,0.0,367.0,1222,2.81250296875,False,REGULAR,USD
11,TSLA241129P00130000,2024-11-25 14:31:26+00:00,130.0,0.01,0.0,0.01,0.0,0.0,7.0,1498,2.68750328125,False,REGULAR,USD
12,TSLA241129P00135000,2024-11-22 20:38:05+00:00,135.0,0.01,0.0,0.01,0.0,0.0,2.0,1942,2.56250359375,False,REGULAR,USD
13,TSLA241129P00140000,2024-11-25 16:08:46+00:00,140.0,0.01,0.0,0.01,0.0,0.0,1.0,3281,2.50000375,False,REGULAR,USD
14,TSLA241129P00145000,2024-11-22 20:36:58+00:00,145.0,0.01,0.0,0.01,0.0,0.0,2389.0,5076,2.3750040624999995,False,REGULAR,USD
15,TSLA241129P00150000,2024-11-25 17:53:37+00:00,150.0,0.01,0.0,0.01,-0.01,-50.0,355.0,5200,2.3125042187499996,False,REGULAR,USD
16,TSLA241129P00155000,2024-11-25 20:02:23+00:00,155.0,0.06,0.0,0.01,0.049999997,499.99988,46.0,3702,2.1875045312499997,False,REGULAR,USD
